company_logo,company_name,company_phones_list,company_address,company_description
https://lesstroy.net/user/15146/90x90_logo-less.png?time=1543743125,ЭкоДом-Кострома,"+7 (800) 100 55 62, +7 (906) 666 55 62",Костромская область город Чухлома,"Компания «Экодом-Кострома» специализируется на возведении домов, бань и подсобных помещений из дерева. Нами используются такие материалы, как брус. Все лесоматериалы изготавливаются в Костромской области на собственном..."
https://lesstroy.net/user/33959/90x90_logo.png?time=1554675659,ЭКО ДОМ МНЕ,"+7 (495) 946 75 37, +7 (915) 906 88 72, +7 (903) 898 06 54","Костромская область, с. Парфеньево, ул. Песочная, 39","Компания «Эко Дом Мне» основана в 2008 году - Лидирующий производитель домов из бруса и бревна в Костромской области и центральном регионе России. Уже более 14 лет мы представляем опытную команду, которая обеспечивает самые оптимальные..."
https://lesstroy.net/user/16540/90x90_Screenshot.png?time=1617189320,СУДАЙ СРУБ,+7 (915) 915 17 71,"с. Судай, Костромская область.","Мы - строительная компания из Костромы  «СУДАЙ СРУБ». Более 10 лет  работаем в сфере строительства домов и бань из бруса. Имеем собственное производство пиломатериалов, квалифицированный штат рабочих.Выполняем..."
https://lesstroy.net/user/17581/90x90_Banner_Oblojka_2_2 (1).jpg?time=1592826497,ТопсХаус,+7 (495) 212 10 69,"Московская обл, г. Котельники, Дзержинское шоссе, вл. 7/7 (500м от МКАД, рядом с магазином ИКЕА Белая дача).","Компания ТопсХаус - это собственное производство полного цикла с 2009 года.
Уже более 13 лет мы строим уютные коттеджи, домики и практичные хозблоки из мини-бруса, клееного бруса и по энергоэффективной финской технологии Двойной брус для..."
https://lesstroy.net/user/9870/90x90_1404372606.jpg?time=1541106424,ТеремЪ,+7 (495) 461 00 99,"Г. Москва, Ореховый бульвар, дом 26 Б",Компания “Теремъ” с 2010 года на рынке загородного коттеджного и малоэтажного строительства проектирует и возводит строения из каркаса и клеёного бруса. Среди них дома для сезонного и постоянного проживания самых разных форм и размеров....
https://lesstroy.net/user/16413/90x90_bb9825598844d897d46e68a0aad41cfd.png?time=1541106523,Лукоморье,+7 (495) 088 41 25,"Московская область, г.о. Серпухов,  д. Борисово, д. 111, Выставочная площадка ТЦ ""Браво-Центр""","Строительная компания «Лукоморье» специализируется на проектировании, строительстве и отделке деревянных домов из северных пород древесины. Мы строим как бюджетные, так и элитные деревянные дома из сосны, кедра и лиственницы в..."
https://lesstroy.net/user/37225/90x90_логотип до 100 кб.jpg?time=1592386796,Дом Чередом,+7 (960) 739 53 65,"Костромская обл, г Чухлома","Здравствуйте! Мы очень рады видеть Вас на странице Дом Чередом сайта Лесстрой. Здесь Вы можете подобрать проект, ознакомиться с ценами, оценить уже построенные нами дома, посмотреть отзывы. Мы обладаем умениями, навыками в области строительства и знаем..."
https://spb.lesstroy.net/user/13739/90x90_лого.png?time=1671201169,Академия Дачного Строительства,+7 (962) 691 19 75,"Санкт-Петербург, Брестский бульвар, 8","Академия Дачного Строительства -  компания, которая 6 лет занимается строительством малых архитектурных форм, премиальных зон отдыха, автомобильных навесов, барбекю комплексов и специализируется на реализации индивидуальных конструкций из дерева.► За 6..."
https://lesstroy.net/user/36477/90x90_RealHaus-logo-orange.png?time=1584864522,RealHaus,"+7 (995) 504 09 03, +7 (995) 116 89 95, +7 (499) 899 81 91",МО г. Мытищи ул.Центральная 13,"О НасКомпания REAL HAUS занимается проектированием, производством и строительством домов из профилированного бруса, оцилидрованного бревна и каркасаМы строим частные загородные дома для постоянного жительства, дачные коттеджи, бани и многое другое по..."
https://lesstroy.net/user/16337/90x90_267e8d0835658ec4d4f7026166b81e27.png?time=1541106521,ООО БрусКом,"+7 (495) 902 69 43, +7 (925) 820 12 03","Московская область, г. Электросталь, ул. Николаева, д. 35, оф 1","Вот уже более 15-ти лет строительная компания ООО «БрусКом» занимается строительством деревянных домов используя огромный опыт с лучшими традициями деревянного домостроения, а так же с применением самых современных технологий. Наши..."
https://lesstroy.net/user/36218/90x90_logo.png?time=1580561493,РУСЬ-ДОМ44,"+7 (953) 652 02 02, +7 (494) 402 65 72","115419, Москва, ул. Шаболовка, 34, стр. 5 А","Русь Дом 44 работает с 2012 года. Мы строим дома, бани, хозяйственные постройки из бревна и бруса. Работаем своим костромским материалом. Все бригады у нас из костромской области. Главное в нашей работе - качество и соблюдение договоренностей. Мы держим..."
https://lesstroy.net/user/3952/90x90_1337237186.jpg?time=1541106360,Домосковье,"+7 (495) 920 09 29, +7 (499) 253 21 71","малая грузинская, дом 29 ,стр.1. 1  этаж вывеска","Компания ""Домосковье"" предлагает большой спектр услуг по строительству домов из сухого профилированного бруса ( бруса камерной сушки) и клееного бруса. Также мы продаем пеллеты (топливные гранулы) оптовыми партиями.Компания ""Домосковье"" предлагает..."
https://lesstroy.net/user/10571/90x90_svetliygrad-logo.png?time=1585132058,Светлый Град,+7 (495) 664 42 32,"Москва, ул. Академика Варги, 8к1, БЦ Лейпцинг Fashion house","Основное направление компании это строительство деревянных домов из бруса и строительство каркасных домов под ключ для постоянного проживания. За годы работы на строительном рынке, у нас сложившийся коллектив русских строительных бригад, что дает полное..."
https://lesstroy.net/user/11823/90x90_6.png?time=1675884239,Новострой Дом,"+7 (800) 302 82 53, +7 (963) 331 92 17","Пестово, Новгородская область, Россия улица Биржа-3",Строительство домов - бань из бруса и каркаса под ключ проекты и ценыКомпания «Новострой Дом» организует строительство бань и домов из бруса под ключ с нуляРаботаем без предоплаты! Даем гарантии! Опыт работы 12 лет!В...
https://lesstroy.net/user/33040/90x90_Screenshot (4).png?time=1564872216,Домстрой,+7 (499) 391 11 19,"Россия, Москва, площадь Академика Курчатова, 1 с34","Наша компания предлагает строительство каркасных домов, профилированного и клеёного бруса, а так же бревна. Сохраняя все преимущества натуральной древесины, эти материалы обладают дополнительной прочностью и долговечностью, совершенно инертны..."
https://lesstroy.net/user/18927/90x90_Лого ЕХ 3.png?time=1656338931,ECO HOME,+7 (996) 068 77 77,"Новгородская область, Пестовский р-н, г Пестово, ул Устюженское Шоссе, д. 2","Мы, строительно-производственная компания ECO HOME.Наши основные направления - это:Строительство и проектирование домов (дома из профлированного бруса, каркасные дома, дома из оцилиндрованного бревна, бани)Производство пиломатериалов..."
https://lesstroy.net/user/5655/90x90_Логотип СК копия.jpg?time=1675255108,СК СВОД-СТРОЙ,+7 (495) 984 82 74,"Москва, Шереметьевская улица 47","О Компании:Строительная компания «СВОД-СТРОЙ К» основана в 1997 году. Сегодня наша компания – одна из лидеров в молоэтажном загородном строительстве домов. Мы имеем собственное производство, команду квалифицированных специалистов и..."
https://lesstroy.net/user/5830/90x90_logo-01.jpg?time=1553932915,Дома от природы,+7 (495) 924 88 50,"г. Москва, проезд Серебрякова, д. 6","Приоритетное направление строительной компании «Дома от природы» - строительство домов, бань и беседок из оцилиндрованного бревна по доступным ценам из качественного материала. Наши постройки имеют привлекательный внешний вид и экологически безопасны. ..."
https://lesstroy.net/user/13546/90x90_leo_1.jpg?time=1652952576,СК Уютный дом,"+7 (800) 200 38 98, +7 (492) 260 00 47, +7 (930) 830 00 47","Владимирская область, город Владимир, улица Северная д 59 оф1","Строительная компания «Уютный дом»  уже на протяжении 10 лет сохраняет отличное качество работы и безупречную репутацию клиентов, которые с удовольствием рекомендую нас знакомым и друзьям по всей Владимирской..."
https://lesstroy.net/user/8559/90x90_логотип.jpg?time=1558541806,ПСК ДревПроектСтрой,,,"Добро пожаловать в чудесный мир деревянных домов от компании ООО ПСК «ДревПроектСтрой», («Деревянные дома России»).  Член некоммерческой организации «Ассоциация деревянного домостроения Вологодской области», Член Ассоциации строителей деревянных домов..."
https://lesstroy.net/user/13843/90x90_Logo SBK44.jpg?time=1559830692,Дом из бруса СБК,+7 (930) 386 75 76,"г. Кострома, ул. Волжская 2-я, 3а, 2 этаж","Мы занимаемся проектированием и строительством домов из бруса – делаем это хорошо, ведь каждый из нашей компании вырос в деревянном доме, и может с уверенностью сказать, что бетонные коробки не дадут того тепла зимой, прохлады летом и чистого..."
https://lesstroy.net/user/40460/90x90_Без имени-1.jpg?time=1636445243,Моя усадьба,+7 (951) 686 64 00,"Угрешская ул., 2, стр. 15, Москва","Строим бани и дома под ключ, под усадку. Недорогие типовые и индивидуальные проекты — любой размер, площадь, планировка.Работаем с 2001 года. Сейчас у нас собственные бригады, производство в Костромской области, небольшой и сплоченный коллектив..."
